course_id,title,category,sub_category,difficulty,rating,num_reviews,num_subscribers,duration_hours,description,skills,instructor
1,Build Real-World Frontend Applications [1],Web Development,Frontend,Intermediate,4.1,570,1710,13.5,"Learn Frontend from industry experts in this hands-on intermediate course. You will gain practical experience with TypeScript, Django, CSS and more. Join thousands of students already learning Frontend.",TypeScript|Django|CSS,Hannah Wilson
2,Real-World Redis [2],Database & SQL,Redis,Beginner,3.6,3577,28616,14.0,"A complete guide to Redis designed for beginner-level learners. You will gain practical experience with PostgreSQL, ETL, Data Modeling and more. By the end, you'll be confident in applying Redis concepts professionally.",PostgreSQL|ETL|Data Modeling,Ahmed Hassan
3,SOC Analysis Complete Course,Cybersecurity,SOC Analysis,Beginner,4.4,10183,81464,35.5,"This comprehensive beginner course covers SOC Analysis in depth. You will gain practical experience with Firewalls, Wireshark, Burp Suite and more. Join thousands of students already learning SOC Analysis.",Firewalls|Wireshark|Burp Suite,Maya Gupta
4,Android App Development Bootcamp,Mobile Development,Android,Advanced,4.2,11249,44996,37.2,"Learn Android from industry experts in this hands-on advanced course. Topics include React Native, Swift, REST API, Firebase applied to real scenarios. Join thousands of students already learning Android.",React Native|Swift|REST API|Firebase|Kotlin|Xcode,Thomas Wright
5,Entrepreneurship MBA [5],Business & Management,Entrepreneurship,Advanced,3.8,1134,6804,59.8,"Dive deep into Entrepreneurship with practical examples and industry best practices. Build portfolio-ready projects using Agile, Google Analytics, Negotiation. Join thousands of students already learning Entrepreneurship.",Agile|Google Analytics|Negotiation|Strategy|SEO,Aisha Khan
6,Advanced Motion Graphics Techniques [6],Design,Motion Graphics,Advanced,4.1,14759,177108,27.0,"Learn Motion Graphics from industry experts in this hands-on advanced course. Topics include Illustrator, CSS, After Effects, Blender applied to real scenarios. Includes certificate of completion and lifetime access to materials.",Illustrator|CSS|After Effects|Blender,Angela Rodriguez
7,Machine Learning for Beginners,Data Science,Machine Learning,Beginner,4.0,9114,27342,41.3,"This comprehensive beginner course covers Machine Learning in depth. Build portfolio-ready projects using Tableau, R, Matplotlib. By the end, you'll be confident in applying Machine Learning concepts professionally.",Tableau|R|Matplotlib|TensorFlow|Pandas|Scikit-learn,Michael Brooks
8,Complete React Native Development,Mobile Development,React Native,Beginner,3.6,10518,115698,37.2,"Learn React Native from industry experts in this hands-on beginner course. Build portfolio-ready projects using Firebase, Swift, Kotlin. Join thousands of students already learning React Native.",Firebase|Swift|Kotlin|Xcode|React Native,Marcus Green
9,MySQL Bootcamp [9],Database & SQL,MySQL,Intermediate,4.7,1453,14530,50.7,"Dive deep into MySQL with practical examples and industry best practices. Topics include NoSQL, MongoDB, SQL, MySQL applied to real scenarios. Join thousands of students already learning MySQL.",NoSQL|MongoDB|SQL|MySQL|Replication,Roberto Silva
10,Web Design Portfolio Projects,Design,Web Design,Beginner,4.9,10697,85576,28.7,"Dive deep into Web Design with practical examples and industry best practices. Covers essential tools like Illustrator, CSS, Typography with hands-on labs. Perfect for anyone looking to advance their career in Design.",Illustrator|CSS|Typography|Blender|Photoshop|InVision,Raj Patel
11,Scaling with AWS,Cloud Computing,AWS,Beginner,3.0,564,4512,12.0,"Learn AWS from industry experts in this hands-on beginner course. Build portfolio-ready projects using AWS, Azure, Jenkins. Includes certificate of completion and lifetime access to materials.",AWS|Azure|Jenkins|Ansible,Emma Thompson
12,Real-World PostgreSQL,Database & SQL,PostgreSQL,Intermediate,3.1,7112,56896,28.1,"A complete guide to PostgreSQL designed for intermediate-level learners. You will gain practical experience with Normalization, ETL, MongoDB and more. Perfect for anyone looking to advance their career in Database & SQL.",Normalization|ETL|MongoDB|SQL,Prof. James Miller
13,The Complete Product Management Course [13],Business & Management,Product Management,Beginner,3.4,7629,45774,55.8,"This comprehensive beginner course covers Product Management in depth. Covers essential tools like Communication, Budgeting, SEO with hands-on labs. Perfect for anyone looking to advance their career in Business & Management.",Communication|Budgeting|SEO|Google Analytics,Prof. James Miller
14,MySQL from Beginner to Expert [14],Database & SQL,MySQL,Advanced,2.6,6446,45122,61.5,"A complete guide to MySQL designed for advanced-level learners. Build portfolio-ready projects using Normalization, MongoDB, ETL. Includes certificate of completion and lifetime access to materials.",Normalization|MongoDB|ETL|SQL|MySQL|Indexing,Hannah Wilson
15,Mastering Data Warehousing [15],Database & SQL,Data Warehousing,Intermediate,3.7,871,10452,30.5,"Dive deep into Data Warehousing with practical examples and industry best practices. Topics include SQL, Indexing, Replication, Data Modeling applied to real scenarios. Perfect for anyone looking to advance their career in Database & SQL.",SQL|Indexing|Replication|Data Modeling,Olivia Davis
16,Backend Development Bootcamp,Web Development,Backend,Beginner,4.1,701,8412,12.7,"Dive deep into Backend with practical examples and industry best practices. Build portfolio-ready projects using Node.js, CSS, Flask. By the end, you'll be confident in applying Backend concepts professionally.",Node.js|CSS|Flask|React,Emma Thompson
17,Network Security from Scratch,Cybersecurity,Network Security,Beginner,4.1,9274,37096,12.1,"Learn Network Security from industry experts in this hands-on beginner course. Build portfolio-ready projects using SIEM, Python, Wireshark. Join thousands of students already learning Network Security.",SIEM|Python|Wireshark|Linux|Nmap,Jason Taylor
18,Ethical Hacking Certification Prep [18],Cybersecurity,Ethical Hacking,Advanced,4.6,1747,8735,21.3,"This comprehensive advanced course covers Ethical Hacking in depth. Topics include Encryption, Burp Suite, Linux, Python applied to real scenarios. By the end, you'll be confident in applying Ethical Hacking concepts professionally.",Encryption|Burp Suite|Linux|Python|Forensics|Metasploit,Carlos Mendez
19,Advanced Java Programming,Programming Languages,Java,Intermediate,3.1,6989,48923,9.9,"Master the fundamentals of Java with real-world projects and exercises. Topics include Concurrency, CLI, Testing, Git applied to real scenarios. By the end, you'll be confident in applying Java concepts professionally.",Concurrency|CLI|Testing|Git|OOP,David Kim
20,Web Design Portfolio Projects [20],Design,Web Design,Intermediate,4.4,9593,105523,16.4,"Learn Web Design from industry experts in this hands-on intermediate course. You will gain practical experience with Photoshop, CSS, Figma and more. By the end, you'll be confident in applying Web Design concepts professionally.",Photoshop|CSS|Figma,Sophie Martin
21,Advanced Data Analysis,Data Science,Data Analysis,Beginner,4.8,13333,66665,56.4,"This comprehensive beginner course covers Data Analysis in depth. Topics include Spark, Matplotlib, SQL, R applied to real scenarios. By the end, you'll be confident in applying Data Analysis concepts professionally.",Spark|Matplotlib|SQL|R|Tableau,Patrick Murphy
22,Mastering Product Management [22],Business & Management,Product Management,Advanced,3.5,13428,134280,24.8,"Learn Product Management from industry experts in this hands-on advanced course. Topics include Strategy, Agile, Budgeting applied to real scenarios. Perfect for anyone looking to advance their career in Business & Management.",Strategy|Agile|Budgeting,Roberto Silva
23,DevOps for Beginners,Cloud Computing,DevOps,Beginner,3.7,502,2008,56.0,"Master the fundamentals of DevOps with real-world projects and exercises. Topics include Terraform, Ansible, CI/CD, Jenkins applied to real scenarios. By the end, you'll be confident in applying DevOps concepts professionally.",Terraform|Ansible|CI/CD|Jenkins|Kubernetes,Prof. James Miller
24,Node.js Masterclass 2024,Web Development,Node.js,Intermediate,3.5,11662,104958,3.5,"Dive deep into Node.js with practical examples and industry best practices. Topics include Node.js, Flask, React applied to real scenarios. By the end, you'll be confident in applying Node.js concepts professionally.",Node.js|Flask|React,Fatima Al-Hassan
25,Django from Scratch,Web Development,Django,Advanced,3.6,6741,53928,27.1,"Master the fundamentals of Django with real-world projects and exercises. Topics include REST API, Angular, Django applied to real scenarios. Join thousands of students already learning Django.",REST API|Angular|Django,Fatima Al-Hassan
26,Product Management for Professionals,Business & Management,Product Management,Intermediate,3.4,12923,155076,37.1,"Master the fundamentals of Product Management with real-world projects and exercises. Covers essential tools like Strategy, Communication, Agile with hands-on labs. Includes certificate of completion and lifetime access to materials.",Strategy|Communication|Agile|SEO|Negotiation,Thomas Wright
27,Docker Practitioner Essentials,Cloud Computing,Docker,Intermediate,4.2,3730,22380,16.4,"This comprehensive intermediate course covers Docker in depth. Topics include Ansible, Terraform, Azure, CI/CD applied to real scenarios. Includes certificate of completion and lifetime access to materials.",Ansible|Terraform|Azure|CI/CD|Linux,Samuel Lee
28,React from Scratch [28],Web Development,React,Intermediate,4.5,14557,58228,47.8,"Learn React from industry experts in this hands-on intermediate course. Topics include Express, Node.js, React, JavaScript applied to real scenarios. Includes certificate of completion and lifetime access to materials.",Express|Node.js|React|JavaScript|HTML|TypeScript,Prof. James Miller
29,PostgreSQL for Data Professionals,Database & SQL,PostgreSQL,Advanced,4.4,14664,161304,28.2,"Dive deep into PostgreSQL with practical examples and industry best practices. Covers essential tools like Indexing, Replication, Data Modeling with hands-on labs. Join thousands of students already learning PostgreSQL.",Indexing|Replication|Data Modeling|ETL|MongoDB|NoSQL,Dr. Chris Evans
30,Professional Motion Graphics,Design,Motion Graphics,Beginner,3.1,4731,28386,21.6,"Master the fundamentals of Motion Graphics with real-world projects and exercises. You will gain practical experience with CSS, InVision, Illustrator and more. Join thousands of students already learning Motion Graphics.",CSS|InVision|Illustrator|Photoshop|Typography,Dr. Priya Sharma
31,Mastering DevOps [31],Cloud Computing,DevOps,Intermediate,4.4,6431,77172,64.1,"This comprehensive intermediate course covers DevOps in depth. Covers essential tools like Terraform, Ansible, Linux with hands-on labs. Includes certificate of completion and lifetime access to materials.",Terraform|Ansible|Linux|Docker|AWS|Azure,Dr. Sarah Chen
32,Hands-On Penetration Testing,Cybersecurity,Penetration Testing,Intermediate,3.9,6421,51368,40.6,"A complete guide to Penetration Testing designed for intermediate-level learners. Topics include SIEM, Nmap, Burp Suite, Encryption applied to real scenarios. Includes certificate of completion and lifetime access to materials.",SIEM|Nmap|Burp Suite|Encryption,Jason Taylor
33,Generative AI Projects and Applications,Artificial Intelligence,Generative AI,Intermediate,4.5,3027,9081,21.2,"Master the fundamentals of Generative AI with real-world projects and exercises. Topics include TensorFlow, Transformers, PyTorch applied to real scenarios. Includes certificate of completion and lifetime access to materials.",TensorFlow|Transformers|PyTorch,Dr. Alex Johnson
34,Hands-On Cryptography [34],Cybersecurity,Cryptography,Beginner,5.0,5783,34698,39.5,"This comprehensive beginner course covers Cryptography in depth. You will gain practical experience with SIEM, Linux, Encryption and more. Join thousands of students already learning Cryptography.",SIEM|Linux|Encryption,Emma Thompson
35,Statistics for Beginners,Data Science,Statistics,Beginner,4.2,12614,100912,17.3,"Dive deep into Statistics with practical examples and industry best practices. You will gain practical experience with Tableau, TensorFlow, Scikit-learn and more. Join thousands of students already learning Statistics.",Tableau|TensorFlow|Scikit-learn,Carlos Mendez
36,Node.js for Web Developers,Web Development,Node.js,Beginner,4.3,13981,167772,49.8,"Dive deep into Node.js with practical examples and industry best practices. You will gain practical experience with Node.js, React, CSS and more. By the end, you'll be confident in applying Node.js concepts professionally.",Node.js|React|CSS|TypeScript|Flask|Vue.js,Marcus Green
37,Product Management MBA,Business & Management,Product Management,Beginner,3.9,5984,59840,43.0,"A complete guide to Product Management designed for beginner-level learners. Topics include Strategy, Budgeting, Scrum applied to real scenarios. By the end, you'll be confident in applying Product Management concepts professionally.",Strategy|Budgeting|Scrum,Samuel Lee
38,Real-World Redis [38],Database & SQL,Redis,Intermediate,4.3,9386,112632,40.6,"Master the fundamentals of Redis with real-world projects and exercises. You will gain practical experience with MySQL, NoSQL, Normalization and more. Includes certificate of completion and lifetime access to materials.",MySQL|NoSQL|Normalization|Replication,Ahmed Hassan
39,Network Security Certification Prep,Cybersecurity,Network Security,Intermediate,3.1,11847,106623,31.1,"Learn Network Security from industry experts in this hands-on intermediate course. Covers essential tools like Burp Suite, Forensics, Linux with hands-on labs. Includes certificate of completion and lifetime access to materials.",Burp Suite|Forensics|Linux|Encryption|Wireshark,Thomas Wright
40,Machine Learning: From Zero to Hero,Data Science,Machine Learning,Beginner,3.7,12271,134981,24.0,"A complete guide to Machine Learning designed for beginner-level learners. Build portfolio-ready projects using Tableau, NumPy, Scikit-learn. By the end, you'll be confident in applying Machine Learning concepts professionally.",Tableau|NumPy|Scikit-learn|Pandas|Matplotlib,Lisa Wang
41,AWS Infrastructure as Code [41],Cloud Computing,AWS,Intermediate,4.3,12505,137555,36.6,"This comprehensive intermediate course covers AWS in depth. Topics include Docker, Jenkins, Linux, GCP applied to real scenarios. By the end, you'll be confident in applying AWS concepts professionally.",Docker|Jenkins|Linux|GCP,Raj Patel
42,Network Security Masterclass [42],Cybersecurity,Network Security,Beginner,4.2,2118,21180,14.0,"This comprehensive beginner course covers Network Security in depth. Build portfolio-ready projects using Linux, Encryption, Burp Suite. Includes certificate of completion and lifetime access to materials.",Linux|Encryption|Burp Suite,Dr. Yuki Tanaka
43,3D Modeling Masterclass [43],Design,3D Modeling,Beginner,4.1,928,4640,16.5,"Dive deep into 3D Modeling with practical examples and industry best practices. Build portfolio-ready projects using Adobe XD, Typography, Sketch. Perfect for anyone looking to advance their career in Design.",Adobe XD|Typography|Sketch|Illustrator|Figma|After Effects,Raj Patel
44,Node.js from Scratch,Web Development,Node.js,Intermediate,3.6,9692,87228,23.0,"Dive deep into Node.js with practical examples and industry best practices. You will gain practical experience with Django, Node.js, Express and more. Perfect for anyone looking to advance their career in Web Development.",Django|Node.js|Express|Flask,Maya Gupta
45,Kubernetes for Beginners [45],Cloud Computing,Kubernetes,Beginner,3.8,11344,136128,30.2,"This comprehensive beginner course covers Kubernetes in depth. Topics include Ansible, Azure, GCP, AWS applied to real scenarios. By the end, you'll be confident in applying Kubernetes concepts professionally.",Ansible|Azure|GCP|AWS,Hannah Wilson
46,Kotlin App Development Bootcamp,Mobile Development,Kotlin,Advanced,3.5,2491,17437,51.5,"This comprehensive advanced course covers Kotlin in depth. You will gain practical experience with REST API, Dart, Xcode and more. Join thousands of students already learning Kotlin.",REST API|Dart|Xcode|Java|Flutter,Patrick Murphy
47,Swift UI/UX Design,Mobile Development,Swift,Intermediate,4.0,8140,81400,12.6,"This comprehensive intermediate course covers Swift in depth. Covers essential tools like Kotlin, Android Studio, Flutter with hands-on labs. By the end, you'll be confident in applying Swift concepts professionally.",Kotlin|Android Studio|Flutter|React Native|Dart|Swift,Samuel Lee
48,Android UI/UX Design,Mobile Development,Android,Beginner,3.9,10724,107240,60.2,"Learn Android from industry experts in this hands-on beginner course. Covers essential tools like Flutter, Java, Swift with hands-on labs. Includes certificate of completion and lifetime access to materials.",Flutter|Java|Swift,Angela Rodriguez
49,Learn 3D Modeling in 30 Days,Design,3D Modeling,Intermediate,4.2,6611,72721,9.2,"This comprehensive intermediate course covers 3D Modeling in depth. Build portfolio-ready projects using Blender, Sketch, InVision. By the end, you'll be confident in applying 3D Modeling concepts professionally.",Blender|Sketch|InVision|Photoshop,Dr. Alex Johnson
50,The Complete React Developer Course,Web Development,React,Advanced,4.3,10296,102960,46.5,"Learn React from industry experts in this hands-on advanced course. Build portfolio-ready projects using Node.js, HTML, React. Join thousands of students already learning React.",Node.js|HTML|React|Django|Vue.js|Angular,Jason Taylor
51,Mastering React Native [51],Mobile Development,React Native,Advanced,3.8,3731,14924,29.8,"This comprehensive advanced course covers React Native in depth. Topics include Swift, Flutter, Java, Firebase applied to real scenarios. Includes certificate of completion and lifetime access to materials.",Swift|Flutter|Java|Firebase,Jason Taylor
52,Modern Swift Architecture,Mobile Development,Swift,Intermediate,4.0,14456,72280,54.8,"Master the fundamentals of Swift with real-world projects and exercises. Covers essential tools like Dart, Android Studio, Swift with hands-on labs. By the end, you'll be confident in applying Swift concepts professionally.",Dart|Android Studio|Swift|REST API|Kotlin|Flutter,Jason Taylor
53,Advanced MongoDB,Database & SQL,MongoDB,Advanced,4.3,6230,62300,62.3,"Learn MongoDB from industry experts in this hands-on advanced course. Topics include PostgreSQL, Normalization, Indexing, Replication applied to real scenarios. Includes certificate of completion and lifetime access to materials.",PostgreSQL|Normalization|Indexing|Replication|ETL|NoSQL,Raj Patel
54,Advanced Project Management Techniques,Business & Management,Project Management,Beginner,4.7,5489,21956,55.7,"A complete guide to Project Management designed for beginner-level learners. You will gain practical experience with Strategy, SEO, Budgeting and more. Includes certificate of completion and lifetime access to materials.",Strategy|SEO|Budgeting|Agile|Scrum|Excel,Dr. Sarah Chen
55,Reinforcement Learning with Python [55],Artificial Intelligence,Reinforcement Learning,Advanced,4.5,14129,155419,26.1,"Master the fundamentals of Reinforcement Learning with real-world projects and exercises. Covers essential tools like NLTK, Transformers, TensorFlow with hands-on labs. Perfect for anyone looking to advance their career in Artificial Intelligence.",NLTK|Transformers|TensorFlow|CNN|PyTorch,Samuel Lee
56,Backend for Web Developers,Web Development,Backend,Intermediate,3.9,11420,79940,58.7,"This comprehensive intermediate course covers Backend in depth. Build portfolio-ready projects using Node.js, CSS, TypeScript. Perfect for anyone looking to advance their career in Web Development.",Node.js|CSS|TypeScript,Carlos Mendez
57,Penetration Testing for IT Professionals,Cybersecurity,Penetration Testing,Intermediate,4.5,10203,61218,31.5,"Dive deep into Penetration Testing with practical examples and industry best practices. Topics include Metasploit, Forensics, Wireshark, Burp Suite applied to real scenarios. Join thousands of students already learning Penetration Testing.",Metasploit|Forensics|Wireshark|Burp Suite,Thomas Wright
58,Complete React Native Development,Mobile Development,React Native,Beginner,4.8,4951,44559,41.9,"A complete guide to React Native designed for beginner-level learners. Build portfolio-ready projects using Flutter, Firebase, Swift. Join thousands of students already learning React Native.",Flutter|Firebase|Swift|Java|Dart|Android Studio,Kevin O'Brien
59,Creative UI/UX Design,Design,UI/UX Design,Beginner,4.1,11286,33858,59.5,"A complete guide to UI/UX Design designed for beginner-level learners. Build portfolio-ready projects using After Effects, Figma, Sketch. Join thousands of students already learning UI/UX Design.",After Effects|Figma|Sketch|Photoshop|CSS,Samuel Lee
60,Network Security Essentials [60],Cybersecurity,Network Security,Intermediate,3.9,9545,76360,44.6,"This comprehensive intermediate course covers Network Security in depth. Build portfolio-ready projects using Wireshark, Linux, Burp Suite. By the end, you'll be confident in applying Network Security concepts professionally.",Wireshark|Linux|Burp Suite|Firewalls,Dr. Chris Evans
61,Digital Marketing MBA,Business & Management,Digital Marketing,Beginner,3.5,13561,135610,67.6,"Master the fundamentals of Digital Marketing with real-world projects and exercises. Build portfolio-ready projects using Communication, Negotiation, Excel. Perfect for anyone looking to advance their career in Business & Management.",Communication|Negotiation|Excel|Strategy|Scrum,Thomas Wright
62,Build Real-World Backend Applications,Web Development,Backend,Intermediate,4.0,7501,60008,40.9,"Master the fundamentals of Backend with real-world projects and exercises. Covers essential tools like Django, Vue.js, CSS with hands-on labs. By the end, you'll be confident in applying Backend concepts professionally.",Django|Vue.js|CSS|Node.js|HTML|JavaScript,Michael Brooks
63,DevOps Security Fundamentals,Cloud Computing,DevOps,Beginner,3.8,2340,7020,64.1,"Master the fundamentals of DevOps with real-world projects and exercises. Covers essential tools like Azure, Linux, Kubernetes with hands-on labs. Perfect for anyone looking to advance their career in Cloud Computing.",Azure|Linux|Kubernetes|Terraform,Michael Brooks
64,Docker Administration,Cloud Computing,Docker,Beginner,4.1,4633,13899,41.9,"Learn Docker from industry experts in this hands-on beginner course. Covers essential tools like Jenkins, GCP, CI/CD with hands-on labs. Includes certificate of completion and lifetime access to materials.",Jenkins|GCP|CI/CD|Terraform|AWS|Docker,Raj Patel
65,Ethical Hacking Certification Prep,Cybersecurity,Ethical Hacking,Advanced,4.7,13553,135530,13.3,"Learn Ethical Hacking from industry experts in this hands-on advanced course. You will gain practical experience with Linux, Firewalls, Burp Suite and more. Perfect for anyone looking to advance their career in Cybersecurity.",Linux|Firewalls|Burp Suite|Wireshark|Forensics,Patrick Murphy
66,Network Security Essentials [66],Cybersecurity,Network Security,Advanced,4.3,12971,155652,4.0,"Learn Network Security from industry experts in this hands-on advanced course. Topics include Forensics, Nmap, Encryption, Metasploit applied to real scenarios. By the end, you'll be confident in applying Network Security concepts professionally.",Forensics|Nmap|Encryption|Metasploit,Patrick Murphy
67,Neural Networks Complete Guide [67],Artificial Intelligence,Neural Networks,Intermediate,3.0,12202,109818,32.9,"This comprehensive intermediate course covers Neural Networks in depth. Covers essential tools like Keras, NLTK, Python with hands-on labs. Includes certificate of completion and lifetime access to materials.",Keras|NLTK|Python|TensorFlow|PyTorch,Maya Gupta
68,Real-World SOC Analysis,Cybersecurity,SOC Analysis,Intermediate,4.2,560,1680,77.4,"A complete guide to SOC Analysis designed for intermediate-level learners. Covers essential tools like Encryption, Burp Suite, SIEM with hands-on labs. Perfect for anyone looking to advance their career in Cybersecurity.",Encryption|Burp Suite|SIEM,Dr. Yuki Tanaka
69,Learn UI/UX Design in 30 Days,Design,UI/UX Design,Advanced,3.8,9837,108207,22.6,"Dive deep into UI/UX Design with practical examples and industry best practices. Covers essential tools like Photoshop, After Effects, Blender with hands-on labs. Perfect for anyone looking to advance their career in Design.",Photoshop|After Effects|Blender,Patrick Murphy
70,Pro Django Development,Web Development,Django,Intermediate,3.7,7480,67320,27.7,"This comprehensive intermediate course covers Django in depth. Build portfolio-ready projects using Node.js, Express, React. Includes certificate of completion and lifetime access to materials.",Node.js|Express|React|REST API,Dr. Alex Johnson
71,Mastering Flutter [71],Mobile Development,Flutter,Advanced,4.3,6155,30775,34.4,"Dive deep into Flutter with practical examples and industry best practices. Build portfolio-ready projects using Kotlin, Xcode, REST API. Perfect for anyone looking to advance their career in Mobile Development.",Kotlin|Xcode|REST API,Fatima Al-Hassan
72,Hands-On Malware Analysis,Cybersecurity,Malware Analysis,Advanced,3.2,8363,50178,16.7,"A complete guide to Malware Analysis designed for advanced-level learners. Topics include Burp Suite, Forensics, Python applied to real scenarios. Perfect for anyone looking to advance their career in Cybersecurity.",Burp Suite|Forensics|Python,Sophie Martin
73,Advanced MongoDB,Database & SQL,MongoDB,Beginner,2.9,4527,31689,60.8,"Master the fundamentals of MongoDB with real-world projects and exercises. You will gain practical experience with Indexing, Replication, SQL and more. Join thousands of students already learning MongoDB.",Indexing|Replication|SQL|NoSQL|Data Modeling|PostgreSQL,Ahmed Hassan
74,Introduction to Generative AI [74],Artificial Intelligence,Generative AI,Intermediate,3.8,7482,59856,16.9,"Master the fundamentals of Generative AI with real-world projects and exercises. Build portfolio-ready projects using TensorFlow, CNN, Keras. Perfect for anyone looking to advance their career in Artificial Intelligence.",TensorFlow|CNN|Keras,Victoria Chang
75,Professional Deep Learning [75],Data Science,Deep Learning,Beginner,3.9,7292,65628,21.7,"Dive deep into Deep Learning with practical examples and industry best practices. You will gain practical experience with Pandas, Scikit-learn, Matplotlib and more. By the end, you'll be confident in applying Deep Learning concepts professionally.",Pandas|Scikit-learn|Matplotlib,Fatima Al-Hassan
76,Full Stack from Scratch,Web Development,Full Stack,Intermediate,3.4,3510,17550,46.8,"Master the fundamentals of Full Stack with real-world projects and exercises. Build portfolio-ready projects using HTML, React, Node.js. Perfect for anyone looking to advance their career in Web Development.",HTML|React|Node.js|REST API|Django,Dr. Sarah Chen
77,Brand Design from Zero to Pro,Design,Brand Design,Intermediate,3.8,12207,36621,28.6,"A complete guide to Brand Design designed for intermediate-level learners. You will gain practical experience with CSS, Typography, Blender and more. By the end, you'll be confident in applying Brand Design concepts professionally.",CSS|Typography|Blender|Figma,Dr. Nina Petrov
78,Leadership in the Real World [78],Business & Management,Leadership,Intermediate,4.4,5978,23912,28.7,"This comprehensive intermediate course covers Leadership in depth. Topics include Agile, Power BI, SEO, Strategy applied to real scenarios. Includes certificate of completion and lifetime access to materials.",Agile|Power BI|SEO|Strategy|Excel|Google Analytics,Dr. Nina Petrov
79,Leadership Strategies That Work,Business & Management,Leadership,Beginner,4.1,8743,96173,18.5,"Master the fundamentals of Leadership with real-world projects and exercises. Build portfolio-ready projects using Power BI, SEO, Scrum. Join thousands of students already learning Leadership.",Power BI|SEO|Scrum|Excel,Raj Patel
80,Modern Backend with Projects,Web Development,Backend,Beginner,3.9,9286,111432,29.2,"Dive deep into Backend with practical examples and industry best practices. Build portfolio-ready projects using JavaScript, TypeScript, Express. By the end, you'll be confident in applying Backend concepts professionally.",JavaScript|TypeScript|Express,Dr. Priya Sharma
81,Modern UI/UX Design,Design,UI/UX Design,Intermediate,3.6,7454,22362,10.9,"Master the fundamentals of UI/UX Design with real-world projects and exercises. You will gain practical experience with Blender, CSS, Adobe XD and more. Perfect for anyone looking to advance their career in Design.",Blender|CSS|Adobe XD,Samuel Lee
82,Rust Problem Solving,Programming Languages,Rust,Beginner,4.1,8264,41320,65.9,"A complete guide to Rust designed for beginner-level learners. You will gain practical experience with CLI, Design Patterns, Debugging and more. By the end, you'll be confident in applying Rust concepts professionally.",CLI|Design Patterns|Debugging,Hannah Wilson
83,The Complete Node.js Developer Course [83],Web Development,Node.js,Intermediate,4.6,6397,57573,47.5,"Dive deep into Node.js with practical examples and industry best practices. You will gain practical experience with Express, Django, TypeScript and more. By the end, you'll be confident in applying Node.js concepts professionally.",Express|Django|TypeScript|JavaScript|Vue.js|Flask,Angela Rodriguez
84,Hands-On Ethical Hacking [84],Cybersecurity,Ethical Hacking,Intermediate,3.6,10798,97182,15.5,"This comprehensive intermediate course covers Ethical Hacking in depth. Build portfolio-ready projects using Python, Wireshark, Metasploit. Includes certificate of completion and lifetime access to materials.",Python|Wireshark|Metasploit|SIEM,Aisha Khan
85,Network Security Masterclass [85],Cybersecurity,Network Security,Intermediate,4.7,5648,56480,18.4,"Learn Network Security from industry experts in this hands-on intermediate course. Topics include Encryption, Python, Linux, Metasploit applied to real scenarios. Perfect for anyone looking to advance their career in Cybersecurity.",Encryption|Python|Linux|Metasploit|Firewalls|Wireshark,Carlos Mendez
